V4,V5,C_ALPHAN,V32
KR-South Korea,KR-South Korea,KR,Agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Agree
KR-South Korea,KR-South Korea,KR,Strongly agree
FR-France,FR-France,FR,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
US-United States,US-United States,US,Neither agree nor disagree
CL-Chile,CL-Chile,CL,Strongly agree
KR-South Korea,KR-South Korea,KR,Agree
CL-Chile,CL-Chile,CL,Agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Strongly disagree
CL-Chile,CL-Chile,CL,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Agree
PH-Philippines,PH-Philippines,PH,Strongly disagree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Strongly agree
KR-South Korea,KR-South Korea,KR,Agree
CL-Chile,CL-Chile,CL,Agree
KR-South Korea,KR-South Korea,KR,Agree
KR-South Korea,KR-South Korea,KR,Agree
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Agree
KR-South Korea,KR-South Korea,KR,Agree
KR-South Korea,KR-South Korea,KR,Agree
AU-Australia,AU-Australia,AU,Cant choose
CL-Chile,CL-Chile,CL,Strongly agree
CL-Chile,CL-Chile,CL,Strongly agree
US-United States,US-United States,US,Strongly agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Strongly agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Agree
CL-Chile,CL-Chile,CL,Agree
KR-South Korea,KR-South Korea,KR,Agree
AU-Australia,AU-Australia,AU,Strongly agree
CN-China,CN-China,CN,Strongly agree
PH-Philippines,PH-Philippines,PH,Strongly agree
KR-South Korea,KR-South Korea,KR,Agree
KR-South Korea,KR-South Korea,KR,Strongly agree
AU-Australia,AU-Australia,AU,Strongly agree
KR-South Korea,KR-South Korea,KR,Neither agree nor disagree
CL-Chile,CL-Chile,CL,Agree
CL-Chile,CL-Chile,CL,Agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Agree
KR-South Korea,KR-South Korea,KR,Strongly agree
GB-GBN-Great Britain,GB-GBN-Great Britain and/or United Kingdom,GB-GBN,Neither agree nor disagree
FR-France,FR-France,FR,Strongly agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Strongly agree
AU-Australia,AU-Australia,AU,Disagree
TW-Taiwan,TW-Taiwan,TW,Disagree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Disagree
KR-South Korea,KR-South Korea,KR,Strongly agree
US-United States,US-United States,US,Strongly disagree
TW-Taiwan,TW-Taiwan,TW,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
AU-Australia,AU-Australia,AU,Strongly agree
DE-E-Germany-East,DE-Germany,DE-E,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Strongly agree
KR-South Korea,KR-South Korea,KR,Agree
KR-South Korea,KR-South Korea,KR,Agree
