V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,support_inequality1,support_inequality2,support_inequality3,support_inequality4,support_inequality5,lvl1,lvl2,lvl3,lvl4,growth1,growth2,growth3,growth4,fix1,fix2,fix3,fix4,fix5,fix6,fix7,bjw1,bjw2,bjw3,bjw4,bjw5,bjw6,bjw7,bjw8,bjw9,bjw10,bjw11,bjw12,bjw13,bjw14,bjw15,bjw16,bjw17,bjw18,redist1,redist2,redist3,redist4,govresp,eq.desire,govresp2,competent,confident,independent,competitive,intelligent,tolerant,warm,goodnatured,sincere,wg1,wg2,wg3,wg4,wg5,emp1,emp2,emp3,emp4,emp5,emp6,pt1,pt2,pt3,free_will1,free_will2,free_will3,free_will4,free_will5,Q26,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,sd9,sd10,sd11,sd12,sd13,oc1,oc2,oc3,oc4,oc5,oc6,oc7,oc8,oc9,oc10,oc11,oc12,oc13,oc14,oc15,gender,age,ethnicity,income,ideology,soc.iss,econ.iss,partyID,debrief
R_0cv8IIlEaiNMEh7,Default Response Set,Anonymous,,,142.197.115.189,0,17-07-25 11:35,17-07-25 11:37,1,1,7,5,5,4,5,5,4,6,7,5,4,4,6,5,6,6,7,6,6,6,4,4,3,4,4,4,4,4,5,4,5,4,5,4,4,4,4,3,4,3,3,3,8,6,4,4,5,4,4,4,5,4,3,5,5,6,7,5,6,5,4,2,2,3,2,5,5,2,7,6,6,4,5,1,2,1,1,1,2,1,1,1,2,2,2,1,1,7,7,7,6,6,6,7,7,6,5,5,5,6,5,6,1,26,White,7,1,1,1,1,1
R_8IGTc4oiVOJH48t,Default Response Set,Anonymous,,,65.78.36.117,0,17-07-25 11:34,17-07-25 11:37,1,1,5,6,5,3,6,3,5,5,6,3,4,5,6,3,6,5,4,2,6,5,3,2,4,3,4,4,2,3,3,4,4,5,4,3,2,4,3,4,2,3,2,4,8,6,4,4,3,4,4,3,3,2,5,3,4,6,3,5,3,4,2,3,4,3,5,3,5,4,5,3,6,5,4,1,2,2,1,2,1,1,2,2,2,2,1,2,1,4,2,5,5,6,5,5,3,3,3,5,4,6,3,5,1,23,White,6,3,3,3,1,1
R_8jC8fiWW2F4uMBL,Default Response Set,Anonymous,,,98.242.255.44,0,17-07-25 11:34,17-07-25 11:37,1,1,6,6,6,2,2,2,2,6,5,4,4,2,5,4,5,6,5,2,5,3,4,3,4,4,4,4,5,3,3,4,4,4,3,4,4,5,4,5,3,3,2,2,6,4,3,1,1,1,1,1,2,1,2,2,2,2,2,2,6,2,4,4,2,2,2,4,4,5,6,6,6,6,6,1,2,2,2,2,1,2,1,2,1,1,2,2,1,1,1,1,1,1,7,1,1,1,1,7,1,1,1,7,1,29,White,11,4,4,4,1,1
R_eQVFlKhjUQLJ1Bj,Default Response Set,Anonymous,,,104.185.97.239,0,17-07-25 11:35,17-07-25 11:37,1,1,2,5,5,6,7,4,2,7,6,6,6,3,2,5,6,7,4,2,4,3,5,2,3,4,2,4,3,3,1,5,2,3,4,4,5,2,3,3,1,2,3,2,7,5,4,4,2,3,3,5,2,3,5,3,6,4,6,3,7,1,1,5,3,4,4,5,2,3,7,3,5,4,6,1,1,2,2,2,2,1,2,2,1,2,2,1,2,5,2,4,7,7,4,3,5,2,2,6,5,5,4,3,1,19,caucausin,2,4,6,5,3,1
R_0UhZ2fK9sHtlX1z,Default Response Set,Anonymous,,,96.33.241.218,0,17-07-25 11:34,17-07-25 11:37,1,1,5,7,7,1,2,3,2,7,6,5,4,1,7,1,1,5,1,4,1,7,4,2,4,5,3,1,4,2,4,1,5,2,4,3,4,1,5,2,4,4,2,1,5,1,4,5,2,1,4,5,5,3,4,3,3,5,2,6,4,4,2,5,3,1,1,4,3,5,5,7,4,4,2,1,1,1,1,2,1,1,2,1,2,2,1,2,2,5,1,3,4,1,7,2,6,3,4,4,1,2,1,6,1,27,white,5,2,2,2,1,1
R_7VypL9lC9h0GqP3,Default Response Set,Anonymous,,,73.215.190.27,0,17-07-25 11:35,17-07-25 11:38,1,1,4,1,3,6,1,7,1,3,5,5,2,3,4,6,4,3,5,1,3,2,2,3,1,5,3,4,4,1,3,2,5,3,4,1,2,1,4,3,2,2,4,1,3,7,2,2,2,1,5,5,3,5,3,2,7,5,5,3,3,2,4,2,3,2,5,1,3,2,5,1,2,1,2,1,2,1,1,2,2,1,2,1,1,2,1,2,1,1,5,7,2,5,6,2,6,3,6,6,4,7,1,4,1,24,white,8,4,6,4,1,1
R_6qXBz71fAgzwrad,Default Response Set,Anonymous,,,24.252.128.184,0,17-07-25 11:34,17-07-25 11:38,1,1,7,7,7,1,1,1,1,5,7,3,7,1,5,1,1,5,1,2,1,7,2,2,2,2,3,5,2,2,1,2,2,2,3,2,2,2,4,3,4,4,4,4,9,1,5,5,5,5,4,5,5,5,5,5,1,1,1,1,7,1,5,5,1,1,1,5,5,5,6,6,5,5,5,1,2,2,2,2,1,2,1,2,1,1,2,2,1,7,1,7,4,6,7,7,7,7,7,7,7,7,2,7,1,27,White,2,1,1,1,1,1
R_8eMaiF1XAl86RmZ,Default Response Set,Anonymous,,,174.199.11.21,0,17-07-25 11:35,17-07-25 11:38,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,6,6,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,22,asian,1,4,4,4,2,1
R_9QTsMl9HdgqTH9j,Default Response Set,Anonymous,,,67.232.93.32,0,17-07-25 11:35,17-07-25 11:38,1,1,5,6,5,5,4,6,5,4,5,5,4,4,5,4,5,5,6,6,5,4,3,3,4,3,4,4,3,4,4,4,4,3,2,3,3,4,3,3,3,2,3,3,8,7,3,4,2,2,3,3,3,2,3,4,5,4,5,5,4,4,3,4,4,3,3,3,3,4,5,5,6,5,5,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1,1,1,4,4,4,4,4,5,4,3,6,3,3,4,1,28,White,1,4,4,4,2,1
R_9QPeFErMFIdJR6B,Default Response Set,Anonymous,,,4.35.250.49,0,17-07-25 11:36,17-07-25 11:39,1,1,6,6,6,6,6,5,6,6,6,6,5,6,6,5,6,5,6,6,6,5,4,3,4,3,3,4,3,4,3,4,3,4,3,3,4,3,3,3,2,2,2,2,4,4,4,3,3,2,3,3,3,2,3,2,4,4,5,6,4,4,3,4,3,3,4,4,3,4,6,5,6,6,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,2,3,3,3,2,2,3,2,2,3,2,2,29,White,4,2,2,2,1,1
