V2,V55
Algeria,7
Algeria,6
Algeria,6
Algeria,6
Algeria,6
Algeria,4
Algeria,7
Algeria,6
Algeria,5
Algeria,5
Algeria,7
Algeria,7
Algeria,8
Algeria,8
Algeria,7
Algeria,7
Algeria,7
Algeria,7
Algeria,7
Algeria,7
Algeria,5
Algeria,1
Algeria,5
Algeria,1
Algeria,5
Algeria,10
Algeria,5
Algeria,10
Algeria,5
Algeria,10
Algeria,9
Algeria,5
Algeria,8
Algeria,5
Algeria,9
Algeria,10
Algeria,7
Algeria,10
Algeria,10
Algeria,10
Algeria,5
Algeria,9
Algeria,9
Algeria,7
Algeria,10
Algeria,8
Algeria,3
Algeria,6
Algeria,9
Algeria,8
Algeria,9
Algeria,10
Algeria,5
Algeria,5
Algeria,9
Algeria,8
Algeria,5
Algeria,3
Algeria,4
Algeria,8
Algeria,8
Algeria,10
Algeria,8
Algeria,8
Algeria,9
Algeria,10
Algeria,10
Algeria,10
Algeria,10
Algeria,7
Algeria,5
Algeria,5
Algeria,10
Algeria,5
Algeria,10
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,9
Algeria,5
Algeria,5
Algeria,10
Algeria,5
Algeria,
Algeria,5
Algeria,5
Algeria,5
Algeria,10
Algeria,5
Algeria,10
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,10
Algeria,10
Algeria,5
Algeria,5
Algeria,10
Algeria,5
Algeria,5
Algeria,10
Algeria,5
Algeria,5
Algeria,
Algeria,10
Algeria,
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,7
Algeria,5
Algeria,8
Algeria,7
Algeria,10
Algeria,5
Algeria,10
Algeria,
Algeria,5
Algeria,8
Algeria,7
Algeria,7
Algeria,8
Algeria,8
Algeria,7
Algeria,7
Algeria,4
Algeria,7
Algeria,
Algeria,8
Algeria,10
Algeria,6
Algeria,7
Algeria,
Algeria,8
Algeria,7
Algeria,8
Algeria,5
Algeria,6
Algeria,4
Algeria,6
Algeria,7
Algeria,7
Algeria,9
Algeria,1
Algeria,7
Algeria,7
Algeria,7
Algeria,6
Algeria,5
Algeria,7
Algeria,5
Algeria,9
Algeria,10
Algeria,6
Algeria,9
Algeria,6
Algeria,
Algeria,5
Algeria,10
Algeria,9
Algeria,6
Algeria,1
Algeria,10
Algeria,1
Algeria,1
Algeria,9
Algeria,9
Algeria,6
Algeria,8
Algeria,8
Algeria,8
Algeria,7
Algeria,8
Algeria,6
Algeria,8
Algeria,8
Algeria,1
Algeria,8
Algeria,8
Algeria,10
Algeria,6
Algeria,9
Algeria,8
Algeria,4
Algeria,7
Algeria,1
Algeria,8
Algeria,10
Algeria,6
Algeria,7
Algeria,7
Algeria,8
Algeria,6
Algeria,10
Algeria,10
Algeria,10
Algeria,10
Algeria,4
Algeria,7
Algeria,7
Algeria,6
Algeria,7
Algeria,8
Algeria,7
Algeria,7
Algeria,7
Algeria,6
Algeria,7
Algeria,7
Algeria,10
Algeria,7
Algeria,10
Algeria,8
Algeria,10
Algeria,8
Algeria,8
Algeria,7
Algeria,10
Algeria,6
Algeria,6
Algeria,7
Algeria,7
Algeria,8
Algeria,7
Algeria,7
Algeria,7
Algeria,7
Algeria,6
Algeria,10
Algeria,6
Algeria,6
Algeria,10
Algeria,8
Algeria,10
Algeria,10
Algeria,8
Algeria,7
Algeria,10
Algeria,8
Algeria,6
Algeria,8
Algeria,6
Algeria,9
Algeria,7
Algeria,7
Algeria,5
Algeria,7
Algeria,7
Algeria,8
Algeria,4
Algeria,6
Algeria,
Algeria,10
Algeria,
Algeria,5
Algeria,6
Algeria,
Algeria,9
Algeria,6
Algeria,7
Algeria,6
Algeria,1
Algeria,8
Algeria,7
Algeria,1
Algeria,9
Algeria,6
Algeria,8
Algeria,5
Algeria,4
Algeria,8
Algeria,10
Algeria,7
Algeria,8
Algeria,5
Algeria,5
Algeria,6
Algeria,8
Algeria,8
Algeria,8
Algeria,5
Algeria,8
Algeria,7
Algeria,6
Algeria,4
Algeria,8
Algeria,8
Algeria,4
Algeria,7
Algeria,5
Algeria,5
Algeria,7
Algeria,1
Algeria,6
Algeria,6
Algeria,8
Algeria,7
Algeria,7
Algeria,10
Algeria,7
Algeria,6
Algeria,6
Algeria,7
Algeria,1
Algeria,6
Algeria,5
Algeria,9
Algeria,10
Algeria,8
Algeria,8
Algeria,9
Algeria,9
Algeria,6
Algeria,7
Algeria,4
Algeria,7
Algeria,9
Algeria,6
Algeria,8
Algeria,5
Algeria,4
Algeria,7
Algeria,10
Algeria,8
Algeria,4
Algeria,8
Algeria,10
Algeria,1
Algeria,5
Algeria,5
Algeria,7
Algeria,8
Algeria,4
Algeria,6
Algeria,6
Algeria,6
Algeria,8
Algeria,8
Algeria,5
Algeria,7
Algeria,7
Algeria,3
Algeria,3
Algeria,8
Algeria,4
Algeria,10
Algeria,7
Algeria,5
Algeria,6
Algeria,7
Algeria,4
Algeria,10
Algeria,6
Algeria,5
Algeria,7
Algeria,7
Algeria,1
Algeria,10
Algeria,3
Algeria,5
Algeria,1
Algeria,4
Algeria,3
Algeria,1
Algeria,6
Algeria,9
Algeria,8
Algeria,8
Algeria,6
Algeria,7
Algeria,8
Algeria,4
Algeria,8
Algeria,4
Algeria,8
Algeria,5
Algeria,8
Algeria,3
Algeria,8
Algeria,10
Algeria,6
Algeria,10
Algeria,5
Algeria,7
Algeria,7
Algeria,5
Algeria,10
Algeria,6
Algeria,9
Algeria,10
Algeria,7
Algeria,8
Algeria,8
Algeria,10
Algeria,1
Algeria,7
Algeria,7
Algeria,5
Algeria,10
Algeria,8
Algeria,1
Algeria,8
Algeria,8
Algeria,10
Algeria,10
Algeria,9
Algeria,3
Algeria,10
Algeria,10
Algeria,8
Algeria,10
Algeria,1
Algeria,7
Algeria,6
Algeria,7
Algeria,5
Algeria,7
Algeria,4
Algeria,8
Algeria,4
Algeria,9
Algeria,6
Algeria,10
Algeria,8
Algeria,8
Algeria,7
Algeria,7
Algeria,9
Algeria,6
Algeria,4
Algeria,6
Algeria,4
Algeria,7
Algeria,5
Algeria,6
Algeria,6
Algeria,7
Algeria,7
Algeria,6
Algeria,5
Algeria,7
Algeria,7
Algeria,8
Algeria,8
Algeria,
Algeria,6
Algeria,7
Algeria,6
Algeria,4
Algeria,5
Algeria,2
Algeria,10
Algeria,
Algeria,3
Algeria,7
Algeria,10
Algeria,8
Algeria,5
Algeria,
Algeria,10
Algeria,10
Algeria,2
Algeria,2
Algeria,7
Algeria,6
Algeria,1
Algeria,1
Algeria,2
Algeria,5
Algeria,7
Algeria,3
Algeria,9
Algeria,5
Algeria,3
Algeria,7
Algeria,8
Algeria,5
Algeria,9
Algeria,6
Algeria,6
Algeria,7
Algeria,3
Algeria,6
Algeria,9
Algeria,7
Algeria,5
Algeria,8
Algeria,3
Algeria,8
Algeria,6
Algeria,7
Algeria,8
Algeria,7
Algeria,5
Algeria,7
Algeria,6
Algeria,5
Algeria,6
Algeria,9
Algeria,6
Algeria,7
Algeria,6
Algeria,7
Algeria,6
Algeria,6
Algeria,7
Algeria,5
Algeria,9
Algeria,1
Algeria,5
Algeria,7
Algeria,8
Algeria,5
Algeria,2
Algeria,5
Algeria,2
Algeria,6
Algeria,2
Algeria,7
Algeria,4
Algeria,1
Algeria,5
Algeria,7
Algeria,5
Algeria,5
Algeria,2
Algeria,5
Algeria,1
Algeria,7
Algeria,
Algeria,5
Algeria,
Algeria,10
Algeria,10
Algeria,6
Algeria,10
Algeria,10
Algeria,
Algeria,1
Algeria,1
Algeria,10
Algeria,4
Algeria,1
Algeria,
Algeria,5
Algeria,10
Algeria,10
Algeria,5
Algeria,10
Algeria,5
Algeria,1
Algeria,4
Algeria,8
Algeria,5
Algeria,10
Algeria,10
Algeria,9
Algeria,10
Algeria,5
Algeria,7
Algeria,1
Algeria,10
Algeria,5
Algeria,8
Algeria,7
Algeria,6
Algeria,5
Algeria,9
Algeria,10
Algeria,10
Algeria,10
Algeria,10
Algeria,5
Algeria,10
Algeria,10
Algeria,9
Algeria,2
Algeria,4
Algeria,8
Algeria,9
Algeria,7
Algeria,7
Algeria,1
Algeria,5
Algeria,2
Algeria,8
Algeria,10
Algeria,8
Algeria,9
Algeria,4
Algeria,3
Algeria,9
Algeria,3
Algeria,9
Algeria,7
Algeria,10
Algeria,10
Algeria,10
Algeria,4
Algeria,8
Algeria,9
Algeria,7
Algeria,8
Algeria,9
Algeria,6
Algeria,6
Algeria,10
Algeria,5
Algeria,7
Algeria,8
Algeria,5
Algeria,10
Algeria,10
Algeria,5
Algeria,8
Algeria,8
Algeria,6
Algeria,5
Algeria,9
Algeria,5
Algeria,8
Algeria,8
Algeria,9
Algeria,10
Algeria,6
Algeria,8
Algeria,2
Algeria,9
Algeria,5
Algeria,5
Algeria,5
Algeria,7
Algeria,8
Algeria,10
Algeria,9
Algeria,5
Algeria,10
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,5
Algeria,8
Algeria,6
Algeria,8
Algeria,5
Algeria,10
Algeria,1
Algeria,5
Algeria,8
Algeria,10
Algeria,10
Algeria,5
Algeria,6
Algeria,5
Algeria,1
Algeria,5
Algeria,6
Algeria,7
Algeria,2
Algeria,8
Algeria,5
Algeria,4
Algeria,8
Algeria,5
Algeria,6
Algeria,7
Algeria,7
Algeria,7
Algeria,6
Algeria,7
Algeria,5
Algeria,4
Algeria,6
Algeria,7
Algeria,5
Algeria,9
Algeria,7
Algeria,8
Algeria,7
Algeria,3
Algeria,3
Algeria,4
Algeria,10
Algeria,5
Algeria,5
Algeria,5
Algeria,
Algeria,6
Algeria,7
Algeria,7
Algeria,5
Algeria,
Algeria,10
Algeria,6
Algeria,
Algeria,10
Algeria,1
Algeria,10
Algeria,10
Algeria,10
Algeria,5
Algeria,7
Algeria,3
Algeria,9
Algeria,6
Algeria,5
Algeria,4
Algeria,10
Algeria,3
Algeria,8
Algeria,4
Algeria,7
Algeria,3
Algeria,2
Algeria,5
Algeria,5
Algeria,7
Algeria,7
Algeria,8
Algeria,6
Algeria,5
Algeria,7
Algeria,1
Algeria,10
Algeria,10
Algeria,8
Algeria,8
Algeria,7
Algeria,8
Algeria,3
Algeria,8
Algeria,10
Algeria,10
Algeria,5
Algeria,10
Algeria,10
Algeria,10
Algeria,6
Algeria,10
Algeria,4
Algeria,5
Algeria,5
Algeria,5
Algeria,8
Algeria,10
Algeria,6
Algeria,6
Algeria,5
Algeria,5
Algeria,8
Algeria,7
Algeria,10
Algeria,10
Algeria,9
Algeria,8
Algeria,10
Algeria,8
Algeria,10
Algeria,9
Algeria,
Algeria,7
Algeria,10
Algeria,7
Algeria,7
Algeria,6
Algeria,8
Algeria,8
Algeria,8
Algeria,4
Algeria,6
Algeria,7
Algeria,5
Algeria,9
Algeria,10
Algeria,10
Algeria,10
Algeria,9
Algeria,3
Algeria,8
Algeria,6
Algeria,6
Algeria,8
Algeria,7
Algeria,9
Algeria,9
Algeria,7
Algeria,9
Algeria,7
Algeria,5
Algeria,7
Algeria,8
Algeria,5
Algeria,7
Algeria,3
Algeria,8
Algeria,7
Algeria,7
Algeria,6
Algeria,6
Algeria,6
Algeria,5
Algeria,10
Algeria,1
Algeria,10
Algeria,5
Algeria,10
Algeria,10
Algeria,5
Algeria,10
Algeria,1
Algeria,10
Algeria,7
Algeria,10
Algeria,5
Algeria,1
Algeria,5
Algeria,5
Algeria,5
Algeria,10
Algeria,1
Algeria,10
Algeria,10
Algeria,5
Algeria,5
Algeria,
Algeria,10
Algeria,10
Algeria,10
Algeria,10
Algeria,10
Algeria,2
Algeria,7
Algeria,3
Algeria,9
Algeria,10
Algeria,5
Algeria,9
Algeria,8
Algeria,8
Algeria,9
Algeria,2
Algeria,2
Algeria,7
Algeria,5
Algeria,7
Algeria,3
Algeria,4
Algeria,9
Algeria,7
Algeria,6
Algeria,7
Algeria,8
Algeria,8
Algeria,8
Algeria,7
Algeria,6
Algeria,4
Algeria,4
Algeria,5
Algeria,3
Algeria,8
Algeria,8
Algeria,
Algeria,8
Algeria,9
Algeria,8
Algeria,5
Algeria,6
Algeria,6
Algeria,6
Algeria,7
Algeria,7
Algeria,7
Algeria,6
Algeria,10
Algeria,10
Algeria,
Algeria,
Algeria,
Algeria,10
Algeria,10
Algeria,10
Algeria,10
Algeria,2
Algeria,6
Algeria,3
Algeria,1
Algeria,8
Algeria,4
Algeria,4
Algeria,9
Algeria,7
Algeria,4
Algeria,3
Algeria,7
Algeria,8
Algeria,6
Algeria,7
Algeria,6
Algeria,6
Algeria,10
Algeria,3
Algeria,1
Algeria,5
Algeria,5
Algeria,
Algeria,
Algeria,1
Algeria,
Algeria,4
Algeria,10
Algeria,6
Algeria,8
Algeria,5
Algeria,7
Algeria,6
Algeria,5
Algeria,7
Algeria,8
Algeria,10
Algeria,8
Algeria,8
Algeria,7
Algeria,8
Algeria,9
Algeria,9
Algeria,9
Algeria,9
Algeria,8
Algeria,8
Algeria,9
Algeria,6
Algeria,9
Algeria,7
Algeria,7
Algeria,6
Algeria,7
Algeria,6
Algeria,7
Algeria,8
Algeria,7
Algeria,7
Algeria,7
Algeria,7
Algeria,7
Algeria,7
Algeria,7
Algeria,8
Algeria,9
Algeria,5
Algeria,9
Algeria,
Algeria,9
Algeria,5
Algeria,8
Algeria,8
Algeria,6
Algeria,10
Algeria,7
Algeria,7
Algeria,2
Algeria,8
Algeria,6
Algeria,7
Algeria,7
Algeria,5
Algeria,4
Algeria,7
Algeria,6
Algeria,6
Algeria,6
Algeria,7
Algeria,10
Algeria,2
Algeria,4
Algeria,2
Algeria,10
Algeria,5
Algeria,1
Algeria,1
Algeria,3
Algeria,6
Algeria,4
Algeria,9
Algeria,6
Algeria,9
Algeria,9
Algeria,10
Algeria,9
Algeria,1
Algeria,3
Algeria,8
Algeria,6
Algeria,7
Algeria,3
Algeria,9
Algeria,6
Algeria,10
Algeria,10
Algeria,10
Algeria,5
Algeria,1
Algeria,8
Algeria,3
Algeria,2
Algeria,8
Algeria,9
Algeria,2
Algeria,8
Algeria,5
Algeria,8
Algeria,7
Algeria,9
Algeria,7
Algeria,7
Algeria,5
Algeria,6
Algeria,7
Algeria,5
Algeria,6
Algeria,7
Algeria,5
Algeria,5
Algeria,5
Algeria,9
Algeria,5
Algeria,10
Algeria,5
Algeria,
Algeria,5
Algeria,5
Algeria,1
Algeria,8
Algeria,4
Algeria,
Algeria,1
Algeria,3
Algeria,10
Algeria,5
Algeria,7
Algeria,9
Algeria,7
Algeria,8
Algeria,
Algeria,7
Algeria,8
Algeria,5
Algeria,1
Algeria,5
Algeria,6
Algeria,7
Algeria,6
Algeria,10
Algeria,7
Algeria,5
Algeria,5
Algeria,5
Algeria,10
Algeria,10
Algeria,10
Algeria,10
Algeria,7
Algeria,10
Algeria,8
Algeria,8
Algeria,10
Algeria,7
Algeria,6
Algeria,10
Algeria,10
Algeria,10
Algeria,7
Algeria,
Algeria,3
Algeria,10
Algeria,6
Algeria,1
Algeria,8
Algeria,6
Algeria,5
Algeria,8
Algeria,7
Algeria,4
Algeria,8
Algeria,4
Algeria,5
Algeria,8
Algeria,7
Algeria,7
Algeria,7
Algeria,10
Algeria,5
Algeria,5
Algeria,5
Algeria,10
Algeria,7
Algeria,10
Algeria,5
Algeria,5
Algeria,
Algeria,5
Algeria,6
Algeria,5
Algeria,5
Algeria,5
Algeria,10
Algeria,5
Algeria,10
Algeria,5
Algeria,5
Algeria,5
Algeria,7
Algeria,6
Algeria,7
Algeria,10
Algeria,6
Algeria,10
Algeria,3
Algeria,10
Algeria,8
Algeria,7
Algeria,7
Algeria,9
Algeria,6
Algeria,7
Algeria,7
Algeria,5
Algeria,8
Algeria,3
Algeria,7
Algeria,5
Algeria,5
Algeria,8
Algeria,5
Algeria,
Algeria,10
Algeria,
Algeria,10
Algeria,5
Algeria,
Algeria,5
Algeria,1
Algeria,10
Algeria,5
Algeria,10
Algeria,10
Algeria,7
Algeria,10
Algeria,5
Algeria,10
Algeria,
Algeria,4
Algeria,7
Algeria,7
Algeria,8
Algeria,10
Algeria,6
Algeria,10
Algeria,6
Algeria,7
Algeria,10
Algeria,6
Algeria,10
Algeria,5
Algeria,6
Algeria,10
Algeria,9
Algeria,6
Algeria,8
Algeria,5
Algeria,10
Algeria,6
Algeria,6
Algeria,7
Algeria,2
Algeria,8
Algeria,9
Algeria,5
Algeria,9
Algeria,5
Algeria,8
Argentina,10
Argentina,8
Argentina,7
Argentina,7
Argentina,8
Argentina,7
Argentina,8
Argentina,10
Argentina,10
Argentina,10
Argentina,9
Argentina,8
Argentina,10
Argentina,10
Argentina,9
Argentina,10
Argentina,8
Argentina,7
Argentina,9
Argentina,10
Argentina,8
Argentina,6
Argentina,5
Argentina,10
Argentina,8
Argentina,8
Argentina,8
Argentina,9
Argentina,7
Argentina,9
Argentina,8
Argentina,10
Argentina,10
Argentina,10
Argentina,8
Argentina,7
Argentina,8
Argentina,5
Argentina,4
Argentina,6
Argentina,5
Argentina,5
Argentina,4
Argentina,5
Argentina,5
Argentina,6
Argentina,7
Argentina,8
Argentina,7
Argentina,4
Argentina,9
Argentina,9
Argentina,8
Argentina,7
Argentina,10
Argentina,7
Argentina,7
Argentina,7
Argentina,8
Argentina,7
Argentina,5
Argentina,8
Argentina,8
Argentina,10
Argentina,7
Argentina,10
Argentina,7
Argentina,8
Argentina,8
Argentina,10
Argentina,8
Argentina,8
Argentina,5
Argentina,4
Argentina,5
Argentina,5
Argentina,9
Argentina,8
Argentina,7
Argentina,8
Argentina,9
Argentina,10
Argentina,6
Argentina,10
Argentina,10
Argentina,5
Argentina,4
Argentina,5
Argentina,6
Argentina,8
Argentina,5
Argentina,6
Argentina,7
Argentina,9
Argentina,6
Argentina,6
Argentina,10
Argentina,
Argentina,10
Argentina,5
Argentina,5
Argentina,8
Argentina,8
Argentina,7
Argentina,7
Argentina,8
Argentina,7
Argentina,7
Argentina,8
Argentina,7
Argentina,5
Argentina,8
Argentina,10
Argentina,6
Argentina,9
Argentina,7
Argentina,8
Argentina,10
Argentina,7
Argentina,8
Argentina,4
Argentina,9
Argentina,7
Argentina,7
Argentina,9
Argentina,8
Argentina,10
Argentina,7
Argentina,10
Argentina,8
Argentina,4
Argentina,
Argentina,5
Argentina,8
Argentina,3
Argentina,5
Argentina,4
Argentina,9
Argentina,8
Argentina,7
Argentina,7
Argentina,8
Argentina,7
Argentina,7
Argentina,8
Argentina,7
Argentina,7
Argentina,10
Argentina,5
Argentina,10
Argentina,8
Argentina,8
Argentina,7
Argentina,5
Argentina,4
Argentina,7
Argentina,7
Argentina,3
Argentina,3
Argentina,7
Argentina,7
Argentina,6
Argentina,7
Argentina,7
Argentina,8
Argentina,6
Argentina,8
Argentina,7
Argentina,7
Argentina,7
Argentina,7
Argentina,5
Argentina,6
Argentina,6
Argentina,7
Argentina,5
Argentina,6
Argentina,8
Argentina,5
Argentina,6
Argentina,5
Argentina,5
Argentina,2
